node,re_z,im_z,abs_z,R_i,R_ii,R_iii,R_iv_1e6,R_iv_1e8,R_iv_1e10
257,5.669452,2.136389,6.058617,0.100000,0.451309,0.867171,0.100000,0.080000,0.060000
258,5.621546,2.224167,6.045551,0.100000,0.443124,0.767747,0.120000,0.080000,0.060000
259,5.573639,2.311945,6.034115,0.100000,0.444112,0.668494,0.100000,0.080000,0.060000
260,5.562971,2.411374,6.063116,0.100000,0.471318,0.572479,0.080000,0.080000,0.060000
261,5.509096,2.495621,6.047997,0.100000,0.473644,0.473936,0.060000,0.060000,0.060000
262,5.411430,2.517097,5.968195,0.100000,0.425781,0.425789,0.100000,0.080000,0.060000
263,5.319314,2.556015,5.901552,0.100000,0.366649,0.379805,0.080000,0.060000,0.060000
264,5.237871,2.614042,5.853930,0.100000,0.335277,0.335279,0.080000,0.060000,0.040000
265,5.174948,2.691764,5.833154,0.100000,0.290494,2.188580,0.080000,0.060000,0.040000
266,5.142565,2.786375,5.848920,0.100000,0.241827,2.169794,0.060000,0.060000,0.040000
267,5.241404,2.771185,5.928894,0.100000,0.188116,2.090978,0.060000,0.040000,0.040000
268,5.188233,2.855877,5.922313,0.100000,0.165537,2.096915,0.040000,0.040000,0.020000
269,5.539154,-2.873569,6.240162,0.100000,0.432394,2.585025,0.100000,0.080000,0.060000
270,5.559957,-2.971382,6.304144,0.100000,0.411785,2.605124,0.100000,0.080000,0.060000
271,5.584818,-3.068242,6.372150,0.100000,0.410803,2.624825,0.100000,0.080000,0.060000
272,5.613863,-3.163931,6.444060,0.100000,0.429267,2.643931,0.100000,0.080000,0.060000
273,5.647218,-3.258204,6.519737,0.100000,0.464735,2.662229,0.120000,0.080000,0.060000
274,5.685010,-3.350788,6.599024,0.100000,0.510607,2.679493,0.120000,0.080000,0.060000
275,5.727363,-3.441376,6.681748,0.100000,0.435360,2.695476,0.100000,0.080000,0.060000
276,5.804587,-3.504909,6.780680,0.100000,0.578403,2.670916,0.100000,0.100000,0.060000
277,5.903778,-3.492210,6.859309,0.100000,0.094759,2.584869,0.100000,0.080000,0.060000
278,6.003331,-3.482766,6.940435,0.100000,0.543926,2.501662,0.140000,0.100000,0.060000
279,6.103157,-3.476867,7.024039,0.100000,0.546391,2.421851,0.120000,0.080000,0.060000
280,6.203136,-3.474850,7.110097,0.100000,0.483019,2.346108,0.120000,0.100000,0.080000
281,6.296368,-3.438686,7.174177,0.100000,0.608247,2.253370,0.120000,0.100000,0.060000
282,6.392354,-3.410637,7.245318,0.100000,0.595507,2.165037,0.080000,0.080000,0.060000
283,6.411331,-3.508820,7.308692,0.100000,0.491661,2.222387,0.120000,0.100000,0.080000
284,6.474682,-3.586193,7.401506,0.100000,0.573317,2.237958,0.140000,0.100000,0.080000
285,6.542838,-3.659370,7.496647,0.100000,0.556637,2.251591,0.140000,0.100000,0.060000
286,6.584745,-3.750165,7.577770,0.100000,0.584261,2.299155,0.140000,0.100000,0.080000
287,6.640572,-3.833131,7.667469,0.100000,0.578280,2.335801,0.140000,0.100000,0.080000
288,6.710858,-3.904264,7.763948,0.100000,0.567083,2.358490,0.120000,0.100000,0.060000
289,6.764542,-3.819895,7.768567,0.100000,0.545697,2.258522,0.140000,0.100000,0.080000
