node,re_z,im_z,abs_z,R_ii,R_va,R_iv_1e8,R_vb_1e8,R_iv_1e6,R_vb_1e6,R_iv_1e10,R_vb_1e10
76,2.089687,0.186037,2.097952,0.657293,0.341526,0.120000,0.195984,0.160000,0.239430,0.080000,0.160422
77,1.995028,0.218282,2.006934,0.673486,0.348902,0.120000,0.204993,0.160000,0.250436,0.080000,0.167797
78,1.938838,0.301002,1.962064,0.652572,0.335160,0.100000,0.195819,0.140000,0.239227,0.080000,0.160287
79,1.867758,0.371342,1.904315,0.630791,0.326289,0.100000,0.176114,0.160000,0.215155,0.080000,0.144158
80,1.841160,0.467740,1.899645,0.636217,0.327984,0.120000,0.188450,0.160000,0.230225,0.080000,0.154255
81,1.928319,0.418715,1.973255,0.500799,0.298200,0.100000,0.169095,0.140000,0.206580,0.080000,0.138412
82,1.759313,0.525195,1.836032,0.659190,0.343281,0.120000,0.202490,0.160000,0.247377,0.080000,0.165747
83,1.720163,0.617212,1.827543,0.693423,0.367326,0.120000,0.210356,0.160000,0.256987,0.080000,0.172186
84,1.657027,0.694762,1.796784,0.744426,0.402785,0.120000,0.216240,0.180000,0.264175,0.080000,0.177002
85,1.615376,0.785675,1.796309,0.788539,0.427187,0.140000,0.222711,0.140000,0.272081,0.100000,0.182299
86,1.604768,0.885111,1.832676,0.797476,0.440281,0.140000,0.236623,0.200000,0.289077,0.100000,0.193687
87,1.637129,0.979730,1.907894,0.796584,0.432453,0.140000,0.234969,0.200000,0.287056,0.100000,0.192333
88,1.694442,0.897784,1.917589,0.509025,0.383716,0.120000,0.210951,0.140000,0.257714,0.100000,0.172673
89,1.701357,-1.092168,2.021744,0.776957,0.418625,0.140000,0.229026,0.200000,0.279796,0.100000,0.187469
90,1.736329,-1.185854,2.102638,0.791139,0.428046,0.140000,0.232876,0.200000,0.284499,0.100000,0.190620
91,1.774729,-1.278187,2.187105,0.813185,0.443168,0.140000,0.238725,0.200000,0.291644,0.100000,0.195407
92,1.816631,-1.368985,2.274702,0.843609,0.463524,0.140000,0.247203,0.200000,0.302003,0.100000,0.202347
93,1.862107,-1.458046,2.365024,0.880978,0.488572,0.140000,0.260031,0.200000,0.317674,0.100000,0.212848
94,1.911223,-1.545153,2.457696,0.924119,0.517772,0.160000,0.277118,0.220000,0.338549,0.120000,0.226834
95,1.964046,-1.630064,2.552368,0.938702,0.526760,0.160000,0.285439,0.220000,0.348714,0.120000,0.233645
96,2.062359,-1.648352,2.640149,0.897513,0.509838,0.140000,0.273050,0.200000,0.333580,0.100000,0.223505
97,2.160673,-1.666640,2.728772,0.896506,0.500117,0.140000,0.260734,0.220000,0.318532,0.100000,0.213423
98,2.258986,-1.684928,2.818156,0.893343,0.497574,0.160000,0.252072,0.220000,0.307951,0.120000,0.206333
99,2.356815,-1.664201,2.885159,0.901029,0.505658,0.140000,0.265579,0.200000,0.324451,0.100000,0.217388
100,2.410700,-1.748441,2.978006,0.875541,0.484244,0.140000,0.263009,0.200000,0.321313,0.100000,0.215285
101,2.491345,-1.689311,3.010078,0.883304,0.492819,0.160000,0.268387,0.220000,0.327882,0.120000,0.219687
102,2.575809,-1.635777,3.051321,0.791646,0.429162,0.140000,0.236411,0.180000,0.288817,0.100000,0.193513
103,2.623083,-1.723897,3.138851,0.770873,0.415944,0.140000,0.230971,0.200000,0.282172,0.100000,0.189060
104,2.677075,-1.808069,3.230456,0.671479,0.405857,0.120000,0.225261,0.180000,0.275197,0.100000,0.184387
105,2.737957,-1.887400,3.325461,0.474107,0.398823,0.120000,0.218319,0.180000,0.266715,0.080000,0.178704
106,2.805842,-1.960828,3.423097,0.739863,0.394503,0.120000,0.211426,0.180000,0.258294,0.080000,0.173062
107,2.880741,-2.027086,3.522463,0.735972,0.392400,0.120000,0.215743,0.160000,0.263569,0.080000,0.176596
108,2.962512,-2.084649,3.622463,0.704632,0.392474,0.120000,0.218389,0.160000,0.266801,0.100000,0.178762
109,3.050764,-2.131676,3.721721,0.689511,0.363094,0.120000,0.207305,0.180000,0.253260,0.100000,0.169689
110,3.150672,-2.127372,3.801637,0.150822,0.353834,0.100000,0.205531,0.140000,0.251093,0.080000,0.168237
111,3.247372,-2.152848,3.896175,0.616213,0.338348,0.120000,0.188161,0.160000,0.229872,0.080000,0.154018
112,3.341750,-2.119789,3.957373,0.661639,0.344512,0.120000,0.190834,0.160000,0.233138,0.080000,0.156207
113,3.441344,-2.110786,4.037111,0.658869,0.343006,0.100000,0.194627,0.140000,0.237771,0.080000,0.159311
114,3.531723,-2.067989,4.092633,0.636395,0.328725,0.100000,0.184392,0.140000,0.225268,0.080000,0.150934
115,3.591763,-1.988019,4.105239,0.465653,0.295164,0.100000,0.171955,0.140000,0.210074,0.080000,0.140754
116,3.492030,-1.995325,4.021890,0.556025,0.278581,0.100000,0.162591,0.120000,0.198634,0.060000,0.133088
117,3.679117,-1.939344,4.158961,0.569617,0.288713,0.100000,0.168727,0.140000,0.206130,0.080000,0.138111
118,3.735313,-1.856628,4.171286,0.548300,0.274505,0.080000,0.167227,0.120000,0.202600,0.060000,0.138029
119,3.787852,-1.771541,4.181648,0.474975,0.269581,0.100000,0.147946,0.120000,0.180742,0.060000,0.121101
120,3.836190,-1.684001,4.189536,0.537254,0.266862,0.080000,0.160306,0.120000,0.195842,0.060000,0.131218
121,3.910799,-1.617416,4.232066,0.578129,0.291803,0.100000,0.171946,0.140000,0.210062,0.080000,0.140745
122,3.977446,-1.542863,4.266205,0.611910,0.313304,0.100000,0.183281,0.140000,0.223910,0.080000,0.150024
123,3.998364,-1.445075,4.251489,0.648892,0.336795,0.080000,0.182110,0.080000,0.222480,0.080000,0.149066
124,4.048244,-1.358403,4.270075,0.705015,0.373181,0.100000,0.211293,0.160000,0.258132,0.080000,0.172953
125,3.954228,-1.324332,4.170105,0.619662,0.318047,0.100000,0.183394,0.140000,0.224048,0.080000,0.150116
126,4.006906,-1.239333,4.194191,0.679706,0.355828,0.120000,0.203529,0.160000,0.248647,0.080000,0.166598
127,3.930047,-1.175358,4.102041,0.646178,0.333843,0.100000,0.194619,0.140000,0.237761,0.080000,0.159305
128,3.901941,-1.079389,4.048484,0.636208,0.328027,0.100000,0.181232,0.160000,0.221407,0.080000,0.148347
129,3.837918,-1.002571,3.966707,0.646282,0.338045,0.120000,0.187979,0.160000,0.229649,0.080000,0.153869
130,3.779399,-0.921482,3.890113,0.665520,0.346096,0.120000,0.202986,0.160000,0.247983,0.100000,0.166154
131,3.727094,-0.836251,3.819757,0.690464,0.363200,0.120000,0.209516,0.160000,0.255962,0.080000,0.171499
132,3.719376,-0.736550,3.791605,0.684037,0.359089,0.120000,0.197091,0.120000,0.240781,0.080000,0.161328
133,3.678474,-0.645297,3.734646,0.681267,0.357526,0.120000,0.196641,0.160000,0.240232,0.080000,0.160960
134,3.773299,-0.613542,3.822855,0.633033,0.326448,0.100000,0.186345,0.120000,0.227654,0.080000,0.152532
135,3.731479,-0.522707,3.767911,0.590020,0.299571,0.100000,0.175218,0.140000,0.214059,0.080000,0.143424
136,3.826686,-0.492121,3.858201,0.607152,0.307694,0.100000,0.183716,0.140000,0.224441,0.080000,0.150380
137,3.893471,-0.417691,3.915812,0.575308,0.290062,0.100000,0.169767,0.140000,0.207401,0.060000,0.138963
138,3.953384,-0.337626,3.967775,0.568044,0.285596,0.100000,0.160902,0.140000,0.196570,0.080000,0.131706
139,4.003929,-0.251340,4.011810,0.589428,0.297747,0.100000,0.175144,0.140000,0.213970,0.080000,0.143364
140,4.040749,-0.158365,4.043851,0.604150,0.308936,0.100000,0.180474,0.140000,0.220481,0.080000,0.147727
141,4.091608,-0.072265,4.092246,0.637740,0.329644,0.100000,0.187758,0.120000,0.229379,0.080000,0.153688
142,4.079886,0.027046,4.079975,0.174882,0.321337,0.060000,0.177887,0.060000,0.217321,0.060000,0.145609
143,4.134380,0.110893,4.135867,0.633560,0.326956,0.100000,0.188327,0.140000,0.230075,0.080000,0.154155
144,4.046576,0.158752,4.049689,0.609824,0.312464,0.100000,0.182241,0.140000,0.222640,0.080000,0.149173
145,3.990477,0.241534,3.997780,0.585419,0.295962,0.100000,0.174285,0.120000,0.212920,0.080000,0.142660
146,3.938634,0.327047,3.952189,0.581840,0.291027,0.100000,0.163211,0.140000,0.199392,0.080000,0.133596
147,3.891795,0.415398,3.913901,0.577862,0.291529,0.100000,0.170256,0.140000,0.207997,0.080000,0.139362
148,3.819125,0.484094,3.849683,0.604338,0.306610,0.100000,0.183809,0.140000,0.224556,0.080000,0.150456
149,3.756709,0.562224,3.798547,0.636380,0.329061,0.100000,0.187205,0.140000,0.228705,0.080000,0.153236
150,3.707545,0.649304,3.763972,0.694803,0.366109,0.120000,0.193658,0.140000,0.236587,0.080000,0.158518
151,3.675464,0.744018,3.750013,0.707854,0.386909,0.120000,0.212624,0.180000,0.259757,0.080000,0.174042
152,3.774949,0.754153,3.849544,0.631099,0.325168,0.080000,0.183783,0.080000,0.224523,0.080000,0.150435
153,3.737740,0.846972,3.832500,0.682785,0.358260,0.120000,0.206932,0.160000,0.252804,0.080000,0.169384
154,3.774444,0.939993,3.889732,0.669736,0.347789,0.120000,0.199589,0.160000,0.243833,0.080000,0.163373
155,3.840549,1.015026,3.972417,0.650315,0.340830,0.120000,0.187298,0.160000,0.228817,0.080000,0.153312
156,3.882663,1.105726,4.037041,0.427883,0.329250,0.100000,0.185435,0.140000,0.226541,0.080000,0.151787
157,3.917465,1.199475,4.096983,0.624248,0.320701,0.100000,0.185536,0.140000,0.226665,0.080000,0.151870
158,3.944109,1.295860,4.151536,0.616272,0.315944,0.100000,0.183033,0.140000,0.223608,0.080000,0.149821
159,3.961648,1.394310,4.199852,0.615509,0.315367,0.060000,0.178645,0.060000,0.218247,0.060000,0.146229
160,3.969023,1.494037,4.240907,0.458695,0.318453,0.100000,0.176730,0.100000,0.215907,0.080000,0.144662
161,3.965056,1.593959,4.273450,0.573623,0.289350,0.100000,0.170084,0.140000,0.207788,0.080000,0.139222
162,3.866442,1.577366,4.175818,0.530813,0.263282,0.100000,0.157796,0.120000,0.192776,0.060000,0.129163
163,3.864178,1.677341,4.212522,0.559754,0.288998,0.100000,0.163927,0.120000,0.200266,0.080000,0.134182
164,3.809257,1.760909,4.196575,0.540871,0.269091,0.100000,0.159112,0.140000,0.192769,0.060000,0.131332
